Source,Target,Weight
0,17,0.9950124791926823
0,4,0.9900498337491681
0,27,0.990049833749168
0,7,0.9851119396030626
0,10,0.9323938199059479
0,11,0.9323938199059483
0,19,0.9464851479534839
0,20,0.9093729344682312
0,21,0.9559974818330998
0,26,0.951229424500714
0,28,0.990049833749168
0,31,0.9277434863285526
0,35,0.9323938199059484
0,36,0.9185122844014573
0,39,0.990049833749168
0,40,0.9851119396030628
0,43,0.9003245225862656
0,46,0.9370674633774034
0,48,0.9559974818330998
0,49,0.9753099120283326
17,4,0.9851119396030626
17,7,0.9801986733067554
17,10,0.9277434863285526
17,11,0.9277434863285529
17,40,0.9900498337491681
17,19,0.951229424500714
17,20,0.9048374180359594
17,21,0.9704455335485082
17,23,0.9185122844014573
17,26,0.9656054162575665
17,27,0.9851119396030626
17,28,0.9851119396030626
17,31,0.9417645335842485
17,35,0.927743486328553
17,36,0.9139311852712281
17,39,0.9851119396030626
17,43,0.9323938199059483
17,46,0.9323938199059483
17,48,0.9512294245007139
17,49,0.9704455335485082
4,40,0.9851119396030626
4,6,0.9003245225862655
4,7,0.9753099120283326
4,10,0.9139311852712281
4,11,0.9417645335842486
4,19,0.9656054162575666
4,21,0.9656054162575665
4,26,0.9417645335842486
4,27,0.9704455335485082
4,28,0.9607894391523232
4,35,0.9048374180359596
4,39,0.9704455335485082
4,43,0.9003245225862656
4,46,0.9559974818331
4,48,0.9464851479534839
4,49,0.9559974818330998
27,7,0.9753099120283326
27,10,0.9607894391523232
27,11,0.9139311852712281
27,19,0.9464851479534839
27,20,0.9559974818330998
27,21,0.9559974818330998
27,23,0.9139311852712281
27,26,0.9512294245007139
27,28,0.990049833749168
27,39,0.990049833749168
27,31,0.9559974818330998
27,36,0.9370674633774034
27,40,0.9559974818330998
27,43,0.9003245225862656
27,46,0.9464851479534838
27,48,0.9753099120283326
27,49,0.9559974818330998
7,1,0.9139311852712283
7,2,0.9185122844014575
7,6,0.9139311852712281
7,39,0.9950124791926823
7,49,0.990049833749168
7,9,0.9464851479534839
7,11,0.9753099120283326
7,19,0.9139311852712283
7,20,0.9048374180359595
7,21,0.9323938199059482
7,23,0.927743486328553
7,24,0.9048374180359596
7,25,0.9185122844014574
7,26,0.9753099120283326
7,28,0.9753099120283326
7,29,0.9323938199059484
7,30,0.9323938199059483
7,31,0.9048374180359594
7,34,0.9464851479534839
7,35,0.9370674633774034
7,37,0.9464851479534839
7,40,0.9704455335485082
7,43,0.9139311852712282
7,46,0.9139311852712283
7,47,0.9003245225862655
7,48,0.9139311852712282
10,5,0.9417645335842487
10,48,0.9950124791926822
10,36,0.9559974818331
10,16,0.9417645335842487
10,18,0.927743486328553
10,19,0.9464851479534837
10,20,0.9370674633774033
10,21,0.9370674633774032
10,28,0.9323938199059482
10,31,0.9370674633774033
10,32,0.9003245225862658
10,39,0.913931185271228
10,46,0.9464851479534837
11,1,0.9003245225862656
11,2,0.9323938199059483
11,3,0.9323938199059483
11,6,0.9559974818330998
11,9,0.9417645335842487
11,29,0.9753099120283327
11,26,0.9607894391523232
11,12,0.9003245225862656
11,23,0.9048374180359596
11,24,0.9559974818331
11,25,0.9048374180359596
11,28,0.9048374180359594
11,30,0.9559974818331
11,34,0.9417645335842487
11,37,0.9417645335842487
11,39,0.951229424500714
11,40,0.9277434863285529
11,43,0.9003245225862656
11,45,0.9003245225862656
11,47,0.9417645335842487
11,49,0.9559974818330998
19,5,0.9277434863285526
19,16,0.9277434863285526
19,21,0.9900498337491681
19,46,0.9900498337491681
19,48,0.9704455335485082
19,26,0.9093729344682314
19,28,0.9093729344682314
19,32,0.9323938199059483
19,39,0.9185122844014574
19,40,0.9323938199059484
19,43,0.9048374180359596
19,44,0.9185122844014574
20,31,0.9607894391523232
20,28,0.9370674633774034
20,23,0.9093729344682312
20,26,0.9003245225862655
20,36,0.9139311852712282
20,39,0.9370674633774032
20,48,0.9323938199059482
21,5,0.9185122844014572
